City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hobart,AU,2022-02-11 17:35:40,-42.8794,147.3294,283.74,75,75,5.14
67,Avarua,CK,2022-02-11 17:30:47,-21.2078,-159.775,296.18,94,22,1.03
68,Caravelas,BR,2022-02-11 17:35:41,-17.7125,-39.2481,303.26,55,13,4.33
69,Puerto Ayora,EC,2022-02-11 17:35:41,-0.7393,-90.3518,302.13,86,49,2.24
70,Maloy,NO,2022-02-11 17:35:42,61.9353,5.1136,277.07,94,100,4.02
71,Kokopo,PG,2022-02-11 17:35:42,-4.352,152.2633,297.78,87,96,2.12
72,Lagoa,PT,2022-02-11 17:33:10,39.05,-27.9833,288.36,76,49,5.38
73,Mataura,NZ,2022-02-11 17:35:43,-46.1927,168.8643,284.53,79,100,1.72
74,Punta Arenas,CL,2022-02-11 17:35:43,-53.15,-70.9167,288.16,62,75,11.83
75,Juneau,US,2022-02-11 17:35:44,58.3019,-134.4197,274.18,95,100,6.69
76,Schramberg,DE,2022-02-11 17:35:44,48.224,8.3858,276.68,90,54,0.74
77,Cape Town,ZA,2022-02-11 17:31:23,-33.9258,18.4232,295.99,70,0,9.26
78,Tabas,IR,2022-02-11 17:35:44,33.5959,56.9244,287.75,28,67,1.9
79,Roald,NO,2022-02-11 17:35:45,62.5833,6.1333,277.22,87,75,8.75
80,Ronda,ES,2022-02-11 17:35:45,36.7423,-5.1671,289.74,67,4,0.71
81,Blacksburg,US,2022-02-11 17:35:46,37.2296,-80.4139,290.26,32,0,5.66
82,Souillac,MU,2022-02-11 17:35:46,-20.5167,57.5167,299.36,83,40,1.03
83,Fredericksburg,US,2022-02-11 17:35:47,38.3032,-77.4605,292.6,28,0,1.34
84,Eirunepe,BR,2022-02-11 17:35:47,-6.6603,-69.8736,301.74,79,100,0.96
85,Gillette,US,2022-02-11 17:35:47,44.2911,-105.5022,272.05,88,75,11.83
86,Vargem Grande,BR,2022-02-11 17:35:48,-3.5431,-43.9158,297.79,91,88,2.06
87,Dali,CN,2022-02-11 17:35:48,25.7,100.1833,277.75,85,1,1.64
88,Nemuro,JP,2022-02-11 17:35:49,43.3236,145.575,268.14,78,81,3.87
89,Ancud,CL,2022-02-11 17:31:54,-41.8697,-73.8203,292.16,54,0,2.88
90,Araouane,ML,2022-02-11 17:36:49,18.9048,-3.5265,295.38,13,77,4.67
91,Talnakh,RU,2022-02-11 17:36:50,69.4865,88.3972,249.38,88,100,4.46
92,Katsuura,JP,2022-02-11 17:31:56,35.1333,140.3,278.25,70,13,6.05
93,Raudeberg,NO,2022-02-11 17:36:50,61.9875,5.1352,276.59,94,100,4.02
94,Khatanga,RU,2022-02-11 17:34:39,71.9667,102.5,257.47,83,99,7.06
95,Qaanaaq,GL,2022-02-11 17:36:51,77.484,-69.3632,241.7,65,0,3.39
96,Puerto Madero,MX,2022-02-11 17:36:51,14.7208,-92.4215,304.26,48,0,2.57
97,Fagernes,NO,2022-02-11 17:36:52,60.9858,9.2324,257.77,98,54,1.48
98,Novopokrovka,UA,2022-02-11 17:36:52,49.8425,36.5477,276.36,99,100,3.66
99,Batemans Bay,AU,2022-02-11 17:32:45,-35.7167,150.1833,290.43,90,58,3.06
100,Kaukauna,US,2022-02-11 17:36:53,44.278,-88.272,278.48,75,100,5.14
101,The Valley,AI,2022-02-11 17:36:53,18.217,-63.0578,301.23,57,40,7.72
102,Vardo,NO,2022-02-11 17:36:53,70.3705,31.1107,272.14,93,40,9.26
103,Kodiak,US,2022-02-11 17:36:54,57.79,-152.4072,275.88,93,100,2.06
104,Nicoya,CR,2022-02-11 17:36:54,10.1483,-85.452,304.9,40,45,4.45
105,Oranjemund,NA,2022-02-11 17:34:41,-28.55,16.4333,291.93,77,30,4.31
106,Broken Hill,AU,2022-02-11 17:36:55,-31.95,141.4333,291.99,37,0,5.14
107,Touros,BR,2022-02-11 17:36:55,-5.1989,-35.4608,304.65,60,55,5.85
108,Esperance,AU,2022-02-11 17:36:55,-33.8667,121.9,296.06,74,96,3.01
109,Tirthahalli,IN,2022-02-11 17:36:56,13.7,75.2333,292.33,42,1,2.23
110,Kirakira,SB,2022-02-11 17:36:56,-10.4544,161.9205,298.55,90,100,5.64
111,Luderitz,NA,2022-02-11 17:36:57,-26.6481,15.1594,297.87,56,100,5.7
112,Darhan,MN,2022-02-11 17:36:57,49.4867,105.9228,244.82,100,31,0.86
113,Coahuayana,MX,2022-02-11 17:36:58,18.7333,-103.6833,299.86,21,0,1.87
114,Kuroiso,JP,2022-02-11 17:36:58,36.9667,140.05,269.48,81,4,1.76
115,Murree,PK,2022-02-11 17:36:58,33.9073,73.393,274.95,42,11,3.32
116,Champerico,GT,2022-02-11 17:36:59,14.3,-91.9167,305.45,57,0,4.29
117,Upernavik,GL,2022-02-11 17:36:59,72.7868,-56.1549,247.17,77,100,5.86
118,Constantine,DZ,2022-02-11 17:36:37,36.365,6.6147,284.82,62,40,4.12
119,Narsaq,GL,2022-02-11 17:34:27,60.9167,-46.05,269.27,70,100,2.08
120,College,US,2022-02-11 17:37:00,64.8569,-147.8028,253.12,75,75,3.6
121,Coquimbo,CL,2022-02-11 17:37:00,-29.9533,-71.3436,296.0,60,0,5.66
122,Barrow,US,2022-02-11 17:37:00,71.2906,-156.7887,240.16,68,0,3.09
123,Paamiut,GL,2022-02-11 17:37:01,61.994,-49.6678,272.16,84,100,7.68
124,Surt,LY,2022-02-11 17:37:01,31.2089,16.5887,287.53,64,98,2.64
125,Luena,AO,2022-02-11 17:37:01,-11.7833,19.9167,290.91,88,95,1.88
126,Itaqui,BR,2022-02-11 17:33:22,-29.1253,-56.5531,313.68,14,17,4.76
127,Huarmey,PE,2022-02-11 17:37:02,-10.0681,-78.1522,297.61,71,82,5.29
128,Gombong,ID,2022-02-11 17:37:02,-7.6072,109.5142,299.72,90,100,2.01
