City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
128,Saint-Augustin,CA,51.23,-58.65,272.33,99,100,7.22,snow
129,Jutai,BR,-5.18,-68.9,301.04,83,89,1.5,overcast clouds
130,Sao Francisco De Assis,BR,-29.55,-55.13,302.01,48,100,2.72,overcast clouds
131,Namibe,AO,-15.2,12.15,300.06,62,58,4.88,broken clouds
132,Faanui,PF,-16.48,-151.75,299.6,77,75,6.23,light rain
133,Victoria,HK,22.29,114.16,293.25,87,82,1.79,broken clouds
134,Raga,SS,8.46,25.68,303.11,15,45,2.69,scattered clouds
135,Cape Town,ZA,-33.93,18.42,297.1,69,0,6.17,clear sky
136,Pevek,RU,69.7,170.31,241.13,98,100,3.85,overcast clouds
137,Chokurdakh,RU,70.63,147.92,254.21,96,100,6.15,overcast clouds
138,Hualmay,PE,-11.1,-77.61,297.09,70,68,3.95,broken clouds
139,Kem,RU,64.96,34.58,263.33,93,98,3.82,overcast clouds
140,Lavrentiya,RU,65.58,-171.0,244.46,93,12,3.16,few clouds
141,Port Augusta,AU,-32.5,137.77,296.63,30,35,2.2,scattered clouds
142,Moindou,NC,-21.69,165.68,297.12,85,71,0.89,broken clouds
143,Port Elizabeth,ZA,-33.92,25.57,298.31,83,0,7.72,clear sky
144,Bolshoye Selo,RU,57.72,38.93,265.66,92,97,3.66,overcast clouds
145,Talnakh,RU,69.49,88.4,250.37,79,44,4.46,scattered clouds
146,Severo-Kurilsk,RU,50.68,156.12,265.72,79,77,1.48,broken clouds
147,Benghazi,LY,32.12,20.07,287.28,57,1,3.33,clear sky
148,Zheleznodorozhnyy,RU,55.75,38.0,270.9,90,43,3.78,scattered clouds
149,Yangjiang,CN,21.85,111.97,292.56,86,99,1.28,overcast clouds
150,Bystryy Istok,RU,52.37,84.39,250.42,100,28,1.66,scattered clouds
151,Geraldton,AU,-28.77,114.6,295.38,78,5,7.2,clear sky
152,Egvekinot,RU,66.32,-179.17,244.11,88,19,3.68,few clouds
153,Smoky Lake,CA,54.12,-112.47,268.42,73,99,0.51,overcast clouds
154,Tafresh,IR,34.69,50.01,274.96,85,57,0.33,broken clouds
155,Torbay,CA,47.67,-52.73,277.19,80,100,4.63,light rain
156,Verkhnyaya Inta,RU,65.98,60.31,259.46,88,100,5.67,light snow
157,Angoche,MZ,-16.23,39.91,299.29,87,75,3.56,light rain
158,Huallanca,PE,-9.9,-76.94,283.78,74,100,0.32,overcast clouds
159,Balila,JO,32.39,35.94,284.79,56,0,1.17,clear sky
160,La Ronge,CA,55.1,-105.28,245.29,63,20,0.0,few clouds
161,Acapulco,MX,16.86,-99.89,300.05,61,75,0.0,broken clouds
162,Longyearbyen,SJ,78.22,15.64,261.06,79,0,5.14,clear sky
163,Lorengau,PG,-2.02,147.27,300.21,75,94,1.6,overcast clouds
164,Shetpe,KZ,44.17,52.12,277.9,74,91,4.12,overcast clouds
165,Palmer,US,42.16,-72.33,287.77,47,100,4.12,overcast clouds
166,Georgetown,MY,5.41,100.34,301.42,78,20,1.54,few clouds
167,Broken Hill,AU,-31.95,141.43,297.66,23,0,4.68,clear sky
168,Lakatoro,VU,-16.1,167.42,299.58,84,100,0.15,overcast clouds
169,Ust-Omchug,RU,61.15,149.63,236.18,99,83,0.77,broken clouds
170,Klaksvik,FO,62.23,-6.59,278.66,83,100,5.34,overcast clouds
171,Holme,DK,56.11,10.17,277.91,80,100,8.91,overcast clouds
172,Salalah,OM,17.02,54.09,298.2,61,40,2.57,scattered clouds
173,Juneau,US,58.3,-134.42,276.95,96,100,7.2,light rain
174,Tasiilaq,GL,65.61,-37.64,262.24,64,100,1.31,overcast clouds
175,General Pico,AR,-35.66,-63.76,293.87,33,1,3.48,clear sky
176,Krasnoselkup,RU,65.7,82.47,252.39,90,5,5.98,clear sky
177,Te Anau,NZ,-45.42,167.72,280.77,82,82,1.46,broken clouds
178,Kabare,CD,-2.47,28.82,290.71,92,100,0.64,light rain
179,Nyurba,RU,63.28,118.33,243.1,100,100,1.27,overcast clouds
180,Zirgan,RU,53.22,55.92,263.06,100,92,1.93,overcast clouds
181,Umm Lajj,SA,25.02,37.27,296.58,24,0,6.56,clear sky
182,Holstebro,DK,56.36,8.62,278.68,84,100,2.24,overcast clouds
183,Ewa Beach,US,21.32,-158.01,295.42,82,20,1.54,few clouds
184,Laguna,US,38.42,-121.42,289.13,88,0,0.0,mist
185,Nikolskoye,RU,59.7,30.79,274.75,95,100,5.5,light snow
186,Gobabis,NA,-22.45,18.97,293.71,69,84,4.48,light rain
187,Hofn,IS,64.25,-15.21,270.42,68,94,9.07,overcast clouds
188,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,255.48,71,0,3.0,clear sky
189,Bengkulu,ID,-3.8,102.27,298.25,86,100,2.14,overcast clouds
190,Tiksi,RU,71.69,128.87,249.91,92,93,8.07,overcast clouds
191,Ostrovnoy,RU,68.05,39.51,265.66,96,86,3.62,light snow
192,Tignere,CM,7.37,12.65,303.92,11,16,2.8,few clouds
193,Roma,US,43.21,-75.46,279.66,73,100,4.92,overcast clouds
194,Maceio,BR,-9.67,-35.74,302.84,65,40,2.06,scattered clouds
195,East Millcreek,US,40.7,-111.81,278.86,59,20,4.63,few clouds
196,Itum-Kale,RU,42.74,45.58,275.68,68,7,2.77,clear sky
197,Quchan,IR,37.11,58.51,274.65,93,97,0.52,overcast clouds
198,Aklavik,CA,68.22,-135.01,244.55,67,40,0.0,scattered clouds
199,Mersing,MY,2.43,103.84,299.1,83,47,2.57,scattered clouds
200,Lagoa,PT,39.05,-27.98,288.7,86,100,9.49,overcast clouds
201,Alta,NO,69.97,23.27,259.73,72,0,1.54,clear sky
202,Parakai,NZ,-36.65,174.43,296.88,76,78,8.65,broken clouds
203,Ha Tinh,VN,18.33,105.9,294.17,91,99,0.8,overcast clouds
204,Forest Grove,US,45.52,-123.11,281.88,65,0,0.45,clear sky
205,Zhuanghe,CN,39.7,122.99,272.7,42,100,2.83,overcast clouds
206,Marawi,PH,8.0,124.29,292.4,92,100,1.14,overcast clouds
207,San Ramon De La Nueva Oran,AR,-23.13,-64.33,291.47,94,100,1.09,overcast clouds
208,Okhotsk,RU,59.38,143.3,247.67,83,10,3.93,clear sky
209,Mercedes,AR,-34.65,-59.43,294.62,41,12,4.66,few clouds
210,Sao Filipe,CV,14.9,-24.5,300.07,43,89,8.25,overcast clouds
211,Castro Marim,PT,37.22,-7.44,290.14,71,54,4.69,broken clouds
212,Newala,TZ,-10.94,39.28,293.04,97,100,0.93,overcast clouds
213,Barrow,US,71.29,-156.79,235.16,100,20,3.6,few clouds
214,Abonnema,NG,4.71,6.79,306.05,47,92,7.21,overcast clouds
215,Pacific Grove,US,36.62,-121.92,291.28,59,0,2.24,clear sky
216,Isangel,VU,-19.55,169.27,299.47,89,82,1.94,broken clouds
217,Okha,RU,53.57,142.95,259.79,95,92,2.87,overcast clouds
218,Falticeni,RO,47.45,26.3,276.73,32,31,5.65,scattered clouds
219,Itanagar,IN,27.1,93.62,285.37,80,0,1.81,clear sky
220,Otjimbingwe,NA,-22.35,16.13,301.35,52,81,5.14,light rain
221,Baherden,TM,38.44,57.43,281.77,68,60,3.41,broken clouds
222,Skala,PL,50.23,19.85,275.59,55,0,1.54,clear sky
223,Yeppoon,AU,-23.13,150.73,296.03,72,28,8.54,scattered clouds
224,Zverinogolovskoye,RU,54.46,64.85,259.12,99,99,0.92,overcast clouds
225,Bathsheba,BB,13.22,-59.52,298.49,73,75,6.69,broken clouds
226,Kavaratti,IN,10.57,72.64,300.31,70,2,2.85,clear sky
227,Juarez,MX,31.73,-106.48,281.59,48,0,9.83,clear sky
228,Gejiu,CN,23.31,103.16,280.21,95,30,2.71,scattered clouds
229,Saldanha,ZA,-33.01,17.94,295.18,90,100,7.76,overcast clouds
230,Leningradskiy,RU,69.38,178.42,243.22,98,98,1.92,overcast clouds
231,Makokou,GA,0.57,12.86,303.72,45,83,1.88,broken clouds
232,Ahipara,NZ,-35.17,173.17,293.49,86,96,12.9,overcast clouds
233,Tarauaca,BR,-8.16,-70.77,304.82,56,84,1.91,broken clouds
234,Clyde River,CA,70.47,-68.59,246.28,69,100,11.83,light snow
235,Touros,BR,-5.2,-35.46,304.65,61,38,4.83,scattered clouds
236,Gorzow Wielkopolski,PL,52.74,15.23,275.49,63,95,2.88,overcast clouds
237,Gympie,AU,-26.19,152.66,293.32,76,33,3.26,scattered clouds
238,Chifeng,CN,42.27,118.96,262.66,66,96,1.74,overcast clouds
239,Kargasok,RU,59.06,80.86,252.02,99,63,3.88,broken clouds
240,Roswell,US,34.02,-84.36,290.59,66,0,4.12,clear sky
241,Jardim,BR,-21.48,-56.14,312.1,26,11,0.58,few clouds
242,Baoding,CN,38.85,115.49,273.6,62,100,3.34,light snow
243,Umea,SE,63.83,20.26,271.11,69,0,4.12,clear sky
244,Bonthe,SL,7.53,-12.5,303.83,57,17,6.76,few clouds
245,Gat,IL,31.61,34.76,288.37,8,0,3.17,clear sky
246,Beira,MZ,-19.84,34.84,302.2,70,20,6.17,few clouds
247,Naze,JP,28.37,129.48,289.89,90,100,6.63,overcast clouds
248,Ndioum,SN,16.51,-14.65,306.09,6,47,9.11,scattered clouds
249,Comodoro Rivadavia,AR,-45.87,-67.5,302.07,24,0,4.63,clear sky
250,Dillon,US,34.42,-79.37,292.58,49,68,3.85,broken clouds
251,Soavinandriana,MG,-19.17,46.73,293.11,73,79,0.34,broken clouds
252,Ranau,MY,5.95,116.66,293.51,96,100,0.35,overcast clouds
253,Carauari,BR,-4.88,-66.9,305.31,54,100,1.52,overcast clouds
254,Pandan,PH,14.05,124.17,297.61,91,100,2.96,light rain
255,Raikot,IN,30.65,75.6,283.95,61,0,2.78,clear sky
256,Sorland,NO,67.67,12.69,273.32,63,47,3.44,scattered clouds
257,Carnarvon,AU,-24.87,113.63,301.19,69,40,5.66,scattered clouds
258,Omboue,GA,-1.57,9.26,301.33,73,57,4.77,broken clouds
259,Vaini,TO,-21.2,-175.2,299.24,94,20,2.06,few clouds
260,Birjand,IR,32.87,59.22,282.41,61,100,4.12,overcast clouds
261,Bikaner,IN,28.02,73.3,292.4,17,0,0.72,clear sky
262,Cockburn Town,TC,21.46,-71.14,298.51,75,1,9.72,clear sky
263,Verkhnyaya Toyma,RU,62.23,45.0,265.78,97,98,2.3,overcast clouds
264,Wajir,KE,1.75,40.06,306.35,21,16,3.59,few clouds
265,Svobodnyy,RU,51.4,128.13,255.91,86,100,5.0,overcast clouds
266,Hobyo,SO,5.35,48.53,298.57,66,100,7.81,overcast clouds
267,Mount Gambier,AU,-37.83,140.77,291.1,72,75,3.6,broken clouds
268,Mancio Lima,BR,-7.61,-72.9,304.19,70,75,4.63,thunderstorm
269,Vryburg,ZA,-26.96,24.73,304.55,19,5,4.65,clear sky
270,Nanortalik,GL,60.14,-45.24,272.67,91,100,3.85,light snow
271,Portland,US,45.52,-122.68,282.51,60,0,4.92,clear sky
272,Hamada,JP,34.88,132.08,279.26,73,40,3.11,scattered clouds
273,Dingle,PH,11.0,122.67,297.06,91,91,3.88,overcast clouds
274,Harwich,GB,51.94,1.28,281.13,70,100,7.6,overcast clouds
275,Abu Zabad,SD,12.35,29.25,299.97,13,5,4.93,clear sky
276,Kenora,CA,49.82,-94.43,243.69,76,100,2.06,overcast clouds
277,Muisne,EC,0.6,-80.03,299.21,92,96,2.95,light rain
278,Berlevag,NO,70.86,29.09,269.29,78,90,7.53,overcast clouds
279,Grao Mogol,BR,-16.56,-42.89,298.85,71,63,0.73,broken clouds
280,Rundu,NA,-17.93,19.77,297.64,62,98,2.43,light rain
281,Tuatapere,NZ,-46.13,167.68,284.16,75,96,4.32,overcast clouds
282,Beyneu,KZ,45.32,55.2,278.2,80,98,5.96,overcast clouds
283,Dongsheng,CN,39.82,109.98,267.96,44,47,2.93,scattered clouds
284,Lagdo,CM,9.05,13.73,306.77,7,21,3.01,few clouds
285,Bantry,IE,51.68,-9.45,285.12,84,99,5.95,overcast clouds
286,Qostanay,KZ,53.17,63.58,264.63,96,100,2.05,light snow
287,Xuanhua,CN,40.61,115.04,267.5,63,31,0.5,scattered clouds
288,Amapa,BR,1.0,-52.0,301.26,73,97,2.22,overcast clouds
289,Sitka,US,57.05,-135.33,278.09,81,100,6.17,light rain
290,Pangnirtung,CA,66.15,-65.71,255.15,78,100,1.54,light snow
291,Saskylakh,RU,71.92,114.08,255.74,77,34,6.03,scattered clouds
292,Tshela,CD,-4.98,12.93,303.78,58,26,1.61,scattered clouds
293,Flinders,AU,-34.58,150.86,291.6,92,96,1.79,overcast clouds
294,Sobreira,PT,41.52,-7.8,287.04,67,97,2.3,overcast clouds
295,Hami,CN,42.8,93.45,271.35,55,82,0.61,broken clouds
296,Kununurra,AU,-15.77,128.73,299.14,94,16,3.09,few clouds
297,Kaeo,NZ,-35.1,173.78,293.92,83,99,11.77,overcast clouds
298,Bulawayo,ZW,-20.15,28.58,298.45,41,89,5.43,overcast clouds
299,Meulaboh,ID,4.14,96.13,298.85,84,74,1.33,broken clouds
300,Tank,PK,32.22,70.38,289.89,35,0,0.77,clear sky
301,Plettenberg Bay,ZA,-34.05,23.37,296.2,73,88,2.27,overcast clouds
302,Swan Hill,AU,-35.34,143.55,298.18,33,0,5.9,clear sky
303,Nizhnevartovsk,RU,60.93,76.55,252.6,84,0,6.0,clear sky
304,Rudbar,AF,30.15,62.6,289.43,24,0,4.0,clear sky
305,Port Hardy,CA,50.7,-127.42,276.35,93,100,1.54,fog
306,Calvia,ES,39.57,2.51,288.1,71,9,1.91,clear sky
307,Dabola,GN,10.75,-11.12,307.87,8,1,1.95,clear sky
308,Vestmannaeyjar,IS,63.44,-20.27,274.7,80,75,2.57,broken clouds
309,Pirgos,GR,35.12,25.72,287.97,61,44,2.15,scattered clouds
310,Yinchuan,CN,38.47,106.27,271.44,70,98,2.15,overcast clouds
311,Blagodatnoye,RU,45.4,42.59,277.66,71,98,3.45,overcast clouds
312,Tabou,CI,4.42,-7.35,301.66,69,59,4.37,broken clouds
313,Fallon,US,39.47,-118.78,277.55,74,0,1.54,clear sky
314,Gravdal,NO,68.12,13.5,270.26,74,15,4.21,few clouds
315,Tuktoyaktuk,CA,69.45,-133.04,240.15,68,20,3.09,few clouds
316,Maltahohe,NA,-24.83,16.98,301.3,38,88,2.99,light rain
317,Opunake,NZ,-39.46,173.86,296.4,94,72,3.99,broken clouds
318,Axim,GH,4.87,-2.24,302.28,66,100,4.89,overcast clouds
319,Duminichi,RU,53.93,35.11,264.77,95,23,2.99,few clouds
320,Khuzhir,RU,53.19,107.34,250.4,90,61,1.91,broken clouds
321,Bambous Virieux,MU,-20.34,57.76,300.29,78,40,0.51,scattered clouds
322,Billings,US,45.78,-108.5,273.43,56,75,9.83,broken clouds
323,Matadi,CD,-5.82,13.45,307.16,43,72,1.84,broken clouds
324,Ancud,CL,-41.87,-73.82,297.72,61,71,2.77,broken clouds
325,Constitucion,CL,-35.33,-72.42,295.93,48,1,3.27,clear sky
326,Kultuk,RU,51.72,103.7,248.45,96,98,1.45,overcast clouds
327,Islamkot,PK,24.7,70.18,294.47,23,0,3.06,clear sky
328,Makakilo City,US,21.35,-158.09,294.64,82,20,1.54,few clouds
329,Cabo San Lucas,MX,22.89,-109.91,295.32,41,20,0.0,few clouds
330,Eirunepe,BR,-6.66,-69.87,305.33,53,72,1.8,broken clouds
331,Ensley,US,30.52,-87.27,291.41,80,40,2.57,scattered clouds
332,Ayan,RU,56.45,138.17,252.4,81,57,2.9,broken clouds
333,Porto Santo,PT,33.07,-16.34,291.36,68,40,7.2,scattered clouds
334,Marovoay,MG,-16.1,46.63,301.23,86,76,3.43,broken clouds
335,Husavik,IS,66.04,-17.34,268.1,81,61,2.78,broken clouds
336,Yumen,CN,40.28,97.2,269.61,43,100,4.29,overcast clouds
337,Yarovoye,RU,52.93,78.58,261.69,90,97,5.53,overcast clouds
338,Ytre Arna,NO,60.47,5.43,279.46,98,100,4.62,light rain
339,Milkovo,RU,54.72,158.62,249.28,99,96,1.07,overcast clouds
340,Walvis Bay,NA,-22.96,14.51,299.68,57,17,4.12,few clouds
341,Kutum,SD,14.2,24.67,297.1,8,49,3.97,scattered clouds
342,Devonport,AU,-41.17,146.35,283.76,83,63,3.82,broken clouds
343,Kuryk,KZ,43.2,51.65,280.71,80,69,5.35,broken clouds
344,Hanting,CN,36.77,119.21,277.66,57,100,2.34,overcast clouds
345,Paamiut,GL,61.99,-49.67,267.46,95,100,5.45,snow
346,Sambava,MG,-14.27,50.17,298.31,85,32,3.53,moderate rain
347,Gaspe,CA,48.83,-64.48,278.27,75,100,6.17,overcast clouds
348,Codrington,AU,-38.27,141.97,290.72,69,18,4.84,few clouds
349,Dasoguz,TM,41.84,59.97,278.21,75,100,2.06,overcast clouds
350,Katherine,AU,-14.47,132.27,299.33,83,10,0.0,clear sky
351,Dunedin,NZ,-45.87,170.5,284.15,69,100,4.47,overcast clouds
352,Road Town,VG,18.42,-64.62,301.2,78,40,4.63,scattered clouds
353,Huarmey,PE,-10.07,-78.15,297.19,73,78,3.98,broken clouds
354,Aykhal,RU,66.0,111.5,252.25,100,87,1.86,overcast clouds
355,Mugur-Aksy,RU,50.35,90.5,244.17,84,19,2.82,few clouds
356,Kharp,RU,66.8,65.81,250.01,97,100,2.78,overcast clouds
357,Casper,US,42.87,-106.31,270.65,71,0,9.77,clear sky
358,High Level,CA,58.52,-117.14,252.21,84,40,0.0,scattered clouds
359,Lesosibirsk,RU,58.24,92.48,254.64,89,7,3.7,clear sky
360,Broome,US,42.25,-75.83,280.38,65,100,7.72,overcast clouds
361,Tveit,NO,58.23,8.12,279.05,91,100,9.26,moderate rain
362,Uri,IN,34.08,74.03,276.84,54,4,3.04,clear sky
363,Belyy Yar,RU,53.6,91.39,243.09,56,25,0.0,smoke
