City_ID,Hotel Name,City,Country,Max Temp,Lat,Lng
246,Beira Terrace Hotel,Beira,MZ,29.05000000000001,-19.84,34.84
247,Shishime Hotel,Naze,JP,16.74000000000001,28.37,129.48
249,Hotel Victoria,Comodoro Rivadavia,AR,28.920000000000016,-45.87,-67.5
250,Dillon Express Inn,Dillon,US,19.430000000000007,34.42,-79.37
252,The Second Room,Ranau,MY,20.360000000000014,5.95,116.66
254,Bonifacio Lodge,Pandan,PH,24.460000000000036,14.05,124.17
257,Hospitality Carnarvon,Carnarvon,AU,28.04000000000002,-24.87,113.63
258,Hotel Olako,Omboue,GA,28.180000000000007,-1.57,9.26
259,Keleti Beach Resort,Vaini,TO,26.090000000000032,-21.2,-175.2
261,Karina Guest House,Bikaner,IN,19.25,28.02,73.3
262,Osprey Beach Hotel,Cockburn Town,TC,25.360000000000014,21.46,-71.14
266,Halane Hotel and Restaurent,Hobyo,SO,25.420000000000016,5.35,48.53
267,The Commodore,Mount Gambier,AU,17.950000000000045,-37.83,140.77
273,SEGAYA PROPERTY,Dingle,PH,23.910000000000025,11.0,122.67
275,حامد محمد نور,Abu Zabad,SD,26.82000000000005,12.35,29.25
277,Quinta Samay,Muisne,EC,26.060000000000002,0.6,-80.03
279,Pousada do Eti,Grao Mogol,BR,25.700000000000045,-16.56,-42.89
280,Millennia Estate,Rundu,,24.49000000000001,-17.93,19.77
293,Shellharbour Resort & Conference Centre,Flinders,AU,18.450000000000045,-34.58,150.86
296,Hotel Kununurra,Kununurra,AU,25.99000000000001,-15.77,128.73
297,Bushido Lodge,Kaeo,NZ,20.77000000000004,-35.1,173.78
298,4 On Housman Backpackers,Bulawayo,ZW,25.30000000000001,-20.15,28.58
299,Kost Pria,Meulaboh,ID,25.700000000000045,4.14,96.13
300,Gula Jan Abdulai,Tank,PK,16.74000000000001,32.22,70.38
301,Thanda Vista B&B,Plettenberg Bay,ZA,23.05000000000001,-34.05,23.37
302,Lazy River Motor Inn,Swan Hill,AU,25.03000000000003,-35.34,143.55
312,hotêl doufoulougou,Tabou,CI,28.510000000000048,4.42,-7.35
316,Maltahöhe Hotel,Maltahohe,,28.150000000000034,-24.83,16.98
317,Walton Cottage,Opunake,NZ,23.25,-39.46,173.86
318,Axim Beach Resort And Spa,Axim,GH,29.129999999999995,4.87,-2.24
321,Casa Tia Villa,Bambous Virieux,MU,27.140000000000043,-20.34,57.76
324,Hotel Arena Gruesa,Ancud,CL,24.57000000000005,-41.87,-73.82
325,Hotel Boutique Las Azucenas,Constitucion,CL,22.78000000000003,-35.33,-72.42
327,Ghazi Guest House,Islamkot,PK,21.32000000000005,24.7,70.18
328,Marriott's Ko Olina Beach Club,Makakilo City,US,21.49000000000001,21.35,-158.09
329,Hotel Tesoro Los Cabos,Cabo San Lucas,MX,22.170000000000016,22.89,-109.91
331,Holiday Inn Express & Suites Pensacola W I,Ensley,US,18.260000000000048,30.52,-87.27
333,Hotel Porto Santo & Spa,Porto Santo,PT,18.210000000000036,33.07,-16.34
334,Hôtel les Oliviers Marovoay,Marovoay,MG,28.08000000000004,-16.1,46.63
340,Oyster Box Guesthouse,Walvis Bay,,26.53000000000003,-22.96,14.51
341,Dibbo areaمنطقة دبو,Kutum,SD,23.950000000000045,14.2,24.67
346,Melrose,Sambava,MG,25.160000000000025,-14.27,50.17
348,Codrington Gardens Bed And Breakfast,Codrington,AU,17.57000000000005,-38.27,141.97
350,Pine Tree Motel,Katherine,AU,26.180000000000007,-14.47,132.27
352,ZINGARA 76ft Catamaran,Road Town,VG,28.05000000000001,18.42,-64.62
